Date,Open,High,Low,Close,Adj Close,Volume
2017-02-22,91.449997,91.800003,91.250000,91.440002,88.692917,6749900
2017-02-23,91.610001,91.800003,90.910004,91.129997,88.392220,7611600
2017-02-24,90.970001,91.339996,90.669998,91.050003,88.314629,6643400
2017-02-27,90.529999,90.910004,90.059998,90.889999,88.159439,11840300
2017-02-28,90.900002,91.790001,90.650002,91.070000,88.334030,10535600
2017-03-01,91.050003,91.889999,90.709999,91.660004,88.906319,8792200
2017-03-02,91.400002,91.589996,90.879997,90.910004,88.178848,7031200
2017-03-03,90.910004,90.910004,89.889999,90.500000,87.781151,8334900
2017-03-06,89.889999,90.510002,89.589996,90.370003,87.655067,9533800
2017-03-07,90.139999,90.489998,90.059998,90.290001,87.577461,5363000
2017-03-08,90.019997,90.349998,89.760002,90.139999,87.431976,5503700
2017-03-09,90.139999,90.489998,90.099998,90.339996,87.625961,5587400
2017-03-10,90.800003,91.160004,90.650002,91.070000,88.334030,6797800
2017-03-13,91.059998,91.489998,90.849998,91.309998,88.566818,7397500
2017-03-14,91.260002,91.589996,90.820000,91.000000,88.266129,6686400
2017-03-15,91.000000,91.779999,90.730003,91.400002,88.654121,7855300
2017-03-16,91.440002,91.720001,91.099998,91.440002,88.692917,6601200
2017-03-17,91.449997,92.000000,90.919998,91.000000,88.266129,37010100
2017-03-20,90.959999,91.410004,90.940002,91.220001,88.479523,7772900
2017-03-21,91.300003,91.750000,91.029999,91.190002,88.450424,8211000
2017-03-22,91.309998,91.800003,90.750000,90.989998,88.256432,7798000
2017-03-23,90.910004,91.459999,90.599998,90.769997,88.043037,6831400
2017-03-24,90.769997,90.919998,90.209999,90.570000,87.849045,9252000
2017-03-27,90.449997,90.720001,90.180000,90.489998,87.771454,10072000
2017-03-28,90.169998,91.059998,90.129997,90.760002,88.033348,11855800
2017-03-29,90.559998,90.870003,90.389999,90.599998,87.878151,4252800
2017-03-30,90.500000,90.570000,90.099998,90.199997,87.490166,3691900
2017-03-31,90.029999,90.339996,89.839996,89.849998,87.150681,6942400
2017-04-03,89.860001,90.059998,89.449997,89.680000,86.985786,6967400
2017-04-04,89.750000,89.959999,89.419998,89.910004,87.208885,5680800
