"Assemblyman";"Party";"Vote"
"Kurth, Markus";"B90/Grüne";"Ja"
"Lazar, Monika";"B90/Grüne";"Ja"
"Lemke, Steffi";"B90/Grüne";"Ja"
"Lindner, Dr. Tobias";"B90/Grüne";"Ja"
"Maisch, Nicole";"B90/Grüne";"Ja"
"Meiwald, Peter";"B90/Grüne";"Ja"
"Mihalic, Irene";"B90/Grüne";"Ja"
"Müller-Gemmeke, Beate";"B90/Grüne";"Ja"
"Mutlu, Özcan";"B90/Grüne";"Ja"
"Notz, Dr. Konstantin von";"B90/Grüne";"Ja"
"Nouripour, Omid";"B90/Grüne";"Ja"
"Ostendorff, Friedrich";"B90/Grüne";"Ja"
"Özdemir, Cem";"B90/Grüne";"Ja"
"Paus, Lisa";"B90/Grüne";"Ja"
"Pothmer, Brigitte";"B90/Grüne";"Ja"
"Rößner, Tabea";"B90/Grüne";"Ja"
"Roth, Claudia";"B90/Grüne";"Ja"
"Rüffer, Corinna";"B90/Grüne";"Ja"
"Sarrazin, Manuel";"B90/Grüne";"Ja"
"Scharfenberg, Elisabeth";"B90/Grüne";"Ja"
"Schauws, Ulle";"B90/Grüne";"Ja"
"Schick, Dr. Gerhard";"B90/Grüne";"Ja"
"Schmidt, Dr. Frithjof";"B90/Grüne";"Ja"
"Schulz-Asche, Kordula";"B90/Grüne";"Ja"
"Strengmann-Kuhn, Dr. Wolfgang";"B90/Grüne";"Ja"
"Ströbele, Hans-Christian";"B90/Grüne";"Ja"
"Terpe, Dr. Harald";"B90/Grüne";"Ja"
"Tressel, Markus";"B90/Grüne";"Ja"
"Trittin, Jürgen";"B90/Grüne";"Ja"
"Verlinden, Dr. Julia";"B90/Grüne";"Ja"
"Wagner, Doris";"B90/Grüne";"Ja"
"Walter-Rosenheimer, Beate";"B90/Grüne";"Ja"
"Wilms, Dr. Valerie";"B90/Grüne";"Ja"
"Steinbach, Erika";"fraktionslos";"Nein"
